site_id,datetime,DO_mg_L,EC_uS_cm,pH
101241,2002-12-02 00:00:00,,,7.2
101241,2003-03-03 00:00:00,,,7.0
101241,2003-06-02 00:00:00,,,6.8
101241,2003-12-01 00:00:00,,,6.9
101241,2004-05-31 12:00:00,,,7.9
101241,2004-11-25 12:00:00,,,7.4
101241,2005-03-01 12:00:00,,,7.5
101241,2005-06-07 12:00:00,,,7.3
101241,2005-09-05 12:00:00,,,7.8
101241,2005-12-05 12:00:00,,,7.8
101241,2006-03-07 04:00:00,,,7.7
101241,2006-06-08 02:00:00,,,7.9
101241,2006-09-04 11:00:00,,,8.1
101241,2006-12-04 11:00:00,,,7.8
101241,2007-03-05 10:00:00,,,7.7
101241,2007-06-04 11:00:00,,,7.2
101241,2007-12-03 18:00:00,,,7.5
101241,2008-03-03 11:00:00,,,7.2
101241,2008-06-03 12:00:00,,,6.7
101241,2008-09-01 12:00:00,,,7.7
101241,2008-09-08 12:00:00,,710.0,6.5
101241,2008-12-01 12:00:00,,,7.7
101241,2009-03-03 10:00:00,,,7.6
101241,2009-06-01 12:00:00,,,7.9
101241,2009-09-04 16:00:00,,,7.7
101241,2009-12-01 11:00:00,,,7.7
101241,2010-03-02 14:00:00,,,7.8
101241,2010-06-01 14:00:00,,,7.68
101241,2010-09-08 13:00:00,,,7.72
101241,2010-12-07 11:00:00,,,7.8
101241,2011-03-01 11:00:00,,,7.8
101241,2011-06-06 11:00:00,,,7.8
101241,2011-09-12 12:00:00,,,7.66
101241,2012-03-14 17:00:00,,,7.56
101246,1981-11-03 00:00:00,,900.0,
101246,2008-06-10 18:00:00,,,7.64
101248,1983-05-24 00:00:00,,1600.0,
101248,1983-05-24 01:00:00,,1500.0,
101248,1983-05-24 02:00:00,,1500.0,
101248,1987-10-12 00:00:00,,1500.0,
101437,1988-12-12 00:00:00,,3100.0,
101708,1978-03-29 00:00:00,,12500.0,
101708,1985-12-10 00:00:00,,8200.0,
101708,1986-04-08 00:00:00,,7500.0,
101708,1986-10-15 00:00:00,,6700.0,
101708,1987-03-11 00:00:00,,8300.0,
101708,1987-10-13 00:00:00,,6500.0,
102388,1989-09-14 00:00:00,,24000.0,
102412,2015-10-27 09:00:00,,11000.0,6.96
102621,1987-09-02 00:00:00,,1800.0,
102621,1988-03-29 00:00:00,,1600.0,6.9
102621,1988-12-07 00:00:00,,,7.13
102621,1989-03-08 00:00:00,,1800.0,6.15
102621,1989-06-28 00:00:00,,,7.12
102621,1989-09-19 00:00:00,,,7.5
102621,1989-12-06 00:00:00,,,7.1
102621,1990-04-11 00:00:00,,1800.0,7.05
102621,1990-06-06 00:00:00,,,7.52
102621,1990-09-18 00:00:00,,,6.92
102621,1990-12-04 00:00:00,,,6.95
102621,1991-03-19 00:00:00,,,6.82
102621,1991-06-25 00:00:00,,,6.89
102621,1991-09-18 00:00:00,,,6.91
102621,1991-12-11 00:00:00,,,7.14
102621,1992-03-25 00:00:00,,,7.01
102621,1992-06-03 00:00:00,,,6.89
102621,1992-09-09 00:00:00,,,6.98
102621,1992-12-09 00:00:00,,,6.89
102621,1993-03-04 00:00:00,,1900.0,6.53
102621,1993-06-02 00:00:00,,,6.8
102621,1994-06-26 00:00:00,,1983.0,6.9
102621,1994-09-06 00:00:00,,1995.0,
102621,1994-12-13 00:00:00,,1990.0,
102621,1995-03-07 00:00:00,,1919.0,
102621,1995-06-06 00:00:00,,1882.0,
102621,1996-03-21 00:00:00,,1875.0,
102621,1996-03-21 01:00:00,,1900.0,
102621,2008-06-10 17:00:00,,,7.33
102621,2014-11-10 14:00:00,,2350.0,7.25
102827,1984-08-16 00:00:00,,5300.0,
102827,1984-08-16 01:00:00,,5000.0,
102827,1984-11-13 00:00:00,,5200.0,
102827,1984-11-14 00:00:00,,5500.0,
102827,1986-07-17 00:00:00,,5100.0,
102827,1990-03-28 00:00:00,,4583.0,
102827,1991-07-16 00:00:00,,4910.0,
102827,2012-09-24 14:00:00,,,9.38
102827,2014-03-04 12:00:00,,4490.0,9.52
102827,2014-10-16 11:00:00,,4670.0,9.24
102827,2015-11-17 10:00:00,,4940.0,8.83
102827,2016-12-01 09:00:00,0.14,4600.0,9.1
102827,2018-01-29 11:00:00,,2100.9,9.5
102827,2018-10-22 13:00:00,,2150.95,9.6
102827,2019-10-21 10:00:00,,2051.0,9.4
102827,2020-10-27 11:00:00,,2251.0,9.0
102827,2022-02-01 13:00:00,,2400.3,9.2
102827,2022-11-24 13:00:00,,2400.25,9.0
102827,2023-10-17 12:00:00,,2350.25,9.47
102827,2024-10-16 11:00:00,,2300.3,9.03
102828,1984-08-16 00:00:00,,11000.0,
102828,1984-08-16 01:00:00,,10667.0,
102828,1986-07-17 00:00:00,,10000.0,
102828,1990-03-28 00:00:00,,9750.0,
102828,1991-07-16 00:00:00,,3470.0,
102828,2012-09-24 12:00:00,,,9.0
102828,2014-03-04 10:00:00,,9900.0,8.98
102828,2014-10-16 08:00:00,,10300.0,8.73
102828,2015-11-17 08:00:00,,4070.0,7.46
102828,2016-12-01 08:00:00,0.22,3800.0,8.7
102828,2018-01-29 13:00:00,,1851.4,8.2
102828,2018-10-22 10:00:00,,1901.0,7.9
102828,2020-10-27 16:00:00,,4950.9,8.42
102828,2022-02-01 11:00:00,,4400.3,8.67
102828,2022-11-24 11:00:00,,4500.25,9.1
102828,2023-10-17 10:00:00,,4400.25,8.2
102829,1984-12-27 00:00:00,,4000.0,
102829,1984-12-27 01:00:00,,3833.0,
102829,1990-03-28 00:00:00,,3917.0,
102829,1991-07-16 00:00:00,,4000.0,
102829,2012-09-24 16:00:00,,,7.51
102829,2014-03-04 13:00:00,,4160.0,7.52
102829,2014-10-16 09:00:00,,4070.0,7.52
102829,2015-11-17 11:00:00,,4350.0,7.84
102829,2016-12-01 11:00:00,0.23,4100.0,7.6
102829,2018-01-30 09:00:00,,2000.85,7.2
